LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.0
GreyMatter;DICE;STD;0.0
GreyMatter;HDRFDST;MEAN;inf
GreyMatter;HDRFDST;STD;nan
Hippocampus;DICE;MEAN;0.0
Hippocampus;DICE;STD;0.0
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.0
Thalamus;DICE;STD;0.0
Thalamus;HDRFDST;MEAN;inf
Thalamus;HDRFDST;STD;nan
WhiteMatter;DICE;MEAN;0.4470528078778856
WhiteMatter;DICE;STD;0.022347904644360053
WhiteMatter;HDRFDST;MEAN;10.571721174431788
WhiteMatter;HDRFDST;STD;0.48858101689543254
